フラグ名,フラグ説明
#temporary-unexpire-flags-m86,M86の時点で期限切れとなっている一時的に未期限のフラグ。これらのフラグはまもなく削除されます。- Mac、Windows、Linux、Chrome OS、Android
#temporary-unexpire-flags-m87,M87の時点で期限が切れている一時的に未期限のフラグです。これらのフラグはまもなく削除されます。- Mac、Windows、Linux、Chrome OS、Android
#ignore-gpu-blocklist,内蔵ソフトウェアのレンダリングリストを上書きし、サポートされていないシステム構成でのGPUアクセラレーションを可能にします。- Mac、Windows、Linux、Chrome OS、Android
#disable-accelerated-2d-canvas,ソフトウェアレンダリングを使用する代わりにGPUを使用して2Dキャンバスレンダリングを実行できるようにします。- Mac、Windows、Linux、Chrome OS、Android
#overlay-strategies,大腿四頭筋をHWオーバーレイに昇格させるために使われている戦略を選択する - Mac、Windows、Linux、Chrome OS、Android
#tint-composited-content,Vizを使用して合成したコンテンツを赤で着色し、デバッグやオーバーレイサポートの検討を支援します。- Mac、Windows、Linux、Chrome OS、Android
#show-overdraw-feedback,要素の下に他の要素が描かれているかどうかに基づいて色分けし、描きすぎを可視化します。- Mac、Windows、Linux、Chrome OS、Android
#ui-disable-partial-swap,部分的なスワップ動作を設定します。- Mac、Windows、Linux、Chrome OS、Android
#enable-webrtc-capture-multi-channel-audio-processing,レンダリングプロセスでAPMを実行しているときに、マルチチャンネルのキャプチャオーディオをダウンミックスなしで処理するためのWebRTCをサポートしています。- Mac、Windows、Linux、Chrome OS、Android
#enable-reader-mode,"Chromeのカスタマイズと制御」→「ページの蒸留」を選択して簡易Webページの閲覧を可能に - Mac, Windows, Linux, Chrome OS"
#enable-webrtc-remote-event-log,WebRTC イベントログを収集し、クラッシュにアップロードできるようにします。この機能を有効にしても、効果を発揮するためにはポリシーの設定が必要になります。- Mac、Windows、Linux、Chrome OS
#enable-webrtc-hybrid-agc,WebRTC Agc2デジタル適応とAgc1アナログ適応。- Mac、Windows、Linux、Chrome OS、Android
#enable-webrtc-hide-local-ips-with-mdns,mDNSホスト名でローカルIPアドレスを隠します。- Mac、Windows、Linux、Chrome OS
#enable-webrtc-use-min-max-vea-dimensions,有効にすると、WebRTC は、サポートされているように公開されているビデオ解像度の中でのみ Video Encode Accelerator を使用します。- Mac、Windows、Linux、Chrome OS、Android
#enable-nacl,Chromeウェブストアからインストールされていないウェブアプリケーションでも、すべてのウェブアプリケーションのネイティブクライアントをサポート。- Mac、Windows、Linux、Chrome OS、Android
#extensions-on-chrome-urls,拡張機能が明示的にこの許可を要求するchrome:// URL上での拡張機能の実行を有効にします。- Mac、Windows、Linux、Chrome OS、Android
#show-autofill-type-predictions,WebフォームにAutofillフィールドタイプの予測をプレースホルダテキストとしてアノテーションします。- Mac、Windows、Linux、Chrome OS、Android
#sms-receiver-cross-device,WebOTP APIがMac、Windows、Linux、Chrome OS、Androidなどのデバイス間で動作するようにします。
#enable-quic,実験的なQUICプロトコルのサポートを有効にします。- Mac、Windows、Linux、Chrome OS、Android
